id,product,partner,partner_sku,price_currency,price_excl_tax,price_retail,cost_price,num_in_stock,num_allocated,low_stock_threshold,date_created,date_updated
15,25,3,10,USD,2987.00,2987.00,1000.00,,,,2017-10-09 19:35:07.322991+00:00,2017-10-09 19:35:07.323022+00:00
16,27,3,11,USD,2987.00,2987.00,1000.00,,,,2017-10-09 19:37:13.666599+00:00,2017-10-09 19:37:13.666653+00:00
17,28,3,12,USD,2987.00,2987.00,1000.00,,,,2017-10-09 19:38:35.837599+00:00,2017-10-09 19:38:35.837643+00:00
18,29,3,13,USD,3137.00,3137.00,1000.00,,,,2017-10-09 19:40:39.561345+00:00,2017-10-09 19:40:39.561386+00:00
20,31,4,15,USD,1389.00,1389.00,500.00,,,,2017-10-09 19:47:10.744665+00:00,2017-10-09 19:47:10.744708+00:00
21,32,4,16,USD,1389.00,1389.00,500.00,,,,2017-10-09 19:48:45.503316+00:00,2017-10-09 19:48:45.503358+00:00
22,33,4,17,USD,1389.00,1389.00,500.00,,,,2017-10-09 20:13:04.187674+00:00,2017-10-09 20:13:04.187715+00:00
23,35,4,18,USD,1799.00,1799.00,500.00,,,,2017-10-09 20:15:25.833989+00:00,2017-10-09 20:15:25.834019+00:00
24,36,3,19,USD,2749.00,2749.00,1000.00,,,,2017-10-09 20:19:00.641368+00:00,2017-10-09 20:19:00.641409+00:00
25,38,3,20,USD,2749.00,2749.00,1000.00,,,,2017-10-09 20:25:16.376844+00:00,2017-10-09 20:25:16.376888+00:00
26,39,3,21,USD,2749.00,2749.00,1000.00,,,,2017-10-09 20:27:07.249196+00:00,2017-10-09 20:27:07.249234+00:00
27,40,4,22,USD,2749.00,2749.00,1000.00,,,,2017-10-09 20:29:17.982855+00:00,2017-10-09 20:29:17.982894+00:00
28,41,3,24,USD,2899.00,2899.00,1000.00,,,,2017-10-09 20:31:56.563825+00:00,2017-10-09 20:31:56.563864+00:00
29,21,3,25,USD,2987.00,2987.00,100.00,,,,2017-10-09 20:53:19.520932+00:00,2017-10-09 20:53:19.520959+00:00
30,24,3,26,USD,1389.00,1389.00,1000.00,,,,2017-10-09 20:55:29.464628+00:00,2017-10-09 20:55:29.464672+00:00
31,42,3,31,USD,2749.00,2749.00,1000.00,,,,2017-11-02 16:24:04.721395+00:00,2017-11-02 16:24:04.721450+00:00
32,43,3,33,USD,2749.00,2749.00,1000.00,,,,2017-11-02 16:24:27.207233+00:00,2017-11-02 16:24:27.207259+00:00
19,30,4,14,USD,1111.20,1111.20,500.00,1000,,,2017-10-09 19:43:26.840104+00:00,2018-02-14 01:12:48.412890+00:00
